Chnlen,StpPct,nObs,Equity,EquityMax,MaxDrawdown,NumTrades,NumPositiveTrades,PctPosTrade,AvgWinner,AvgLooser,DeltaMean,DeltaSum2_C,DeltaSum3_C,DeltaSum4_C,Var,Std,Skew,XKurt
6010,0.012,169317,331021,332304,-21908.3,238,66.5,0.279412,2503.11,-2682.63,0.773789,1.59367e+09,2.66759e+12,1.91291e+16,9412.35,97.0172,7099.41,1272.26
10,0.014,169317,1.32893e+06,1.33235e+06,-33588.9,11047.5,1523.5,0.137905,1719.49,-1860.05,6.6677,1.52775e+10,1.49259e+13,7.42767e+16,90230.3,300.384,1338.33,50.8824
4010,0.013,169317,364045,365445,-27259.5,272,75.5,0.277574,2485.03,-3612.36,0.968833,2.06623e+09,2.85345e+12,2.00001e+16,12203.3,110.469,5144,790.184
2010,0.013,169317,380240,381639,-26436.6,370,100.5,0.271622,3220.46,-3885.47,1.06444,2.59952e+09,2.96998e+12,2.04723e+16,15353,123.907,3794.14,509.957
6010,0.013,169317,328273,329672,-23003.3,222,63.5,0.286036,2485.71,-3560.85,0.757578,1.68032e+09,2.63458e+12,1.9187e+16,9924.1,99.6198,6476.25,1147.6
10,0.015,169317,1.33821e+06,1.34163e+06,-33057.3,11028.5,1517.5,0.137598,1692.78,-1855.47,6.72243,1.53368e+10,1.50918e+13,7.6008e+16,90580.7,300.966,1345.35,51.7127
4010,0.014,169317,369071,370613,-19879.4,253,71,0.280632,2972.43,-4100.57,0.998591,2.20602e+09,2.814e+12,2.01491e+16,13028.9,114.144,4598.45,698.032
6010,0.014,169317,333183,334892,-26891.1,206,60,0.291262,2939.61,-4015.21,0.786596,1.79036e+09,2.60766e+12,1.93138e+16,10574,102.83,5828.28,1017.21
2010,0.014,169317,389641,393502,-25368.3,343,94,0.274052,3556.96,-4297.81,1.12008,2.79188e+09,2.93943e+12,2.05707e+16,16489.1,128.41,3373.8,443.844
4010,0.015,169317,368513,371376,-21709,236,66,0.279661,2948.95,-4251.15,0.995255,2.33146e+09,2.78823e+12,2.02977e+16,13769.8,117.345,4193.61,629.254
6010,0.015,169317,333301,335373,-26606.9,192,56,0.291667,2910.59,-4157.54,0.787278,1.89118e+09,2.58576e+12,1.94504e+16,11169.4,105.686,5323.43,917.799
2010,0.015,169317,388806,390557,-26722.4,321,88.5,0.275701,3542.57,-4420.74,1.11515,2.96777e+09,2.89779e+12,2.07506e+16,17527.9,132.393,3034.75,395.908
1010,0.005,169317,487958,490396,-12405.9,1268,331,0.261041,2441.02,-2295.3,1.70068,1.75978e+09,3.65745e+12,1.89502e+16,10393.4,101.948,8388.63,1033.09
1010,0.006,169317,481736,484871,-19702.5,1074,280.5,0.261173,2432.3,-2479.24,1.66394,1.97997e+09,3.75276e+12,1.9845e+16,11693.8,108.138,7212.15,854.109
1010,0.007,169317,485490,488210,-21435.8,929,242,0.260495,2446.86,-2704.57,1.68611,2.20111e+09,3.7837e+12,2.00118e+16,13000,114.017,6203.73,696.36
3010,0.005,169317,364351,366789,-13152.2,762,201,0.26378,2231.45,-2241.81,0.970765,1.12025e+09,2.74606e+12,1.81731e+16,6616.3,81.3406,12400.4,2448.87
7010,0.005,169317,321874,324311,-12804.5,513,140,0.272904,2073.6,-2074.13,0.719805,8.28474e+08,2.48497e+12,1.75026e+16,4893.04,69.9502,17644.3,4314.63
5010,0.005,169317,331909,334562,-12804.5,598,159.5,0.266722,2124.9,-2141.55,0.779102,9.23496e+08,2.58109e+12,1.78288e+16,5454.25,73.8529,15572.2,3536.59
1010,0.008,169317,479231,481333,-23222.8,820,211.5,0.257927,2574.43,-3201.14,1.64911,2.44054e+09,3.78879e+12,2.01286e+16,14414,120.059,5320.73,569.191
3010,0.006,169317,356863,359998,-17922.8,652,171,0.26227,2223.55,-2510.93,0.926426,1.26441e+09,2.83806e+12,1.90738e+16,7467.73,86.416,10687.8,2017.03
7010,0.006,169317,320210,323345,-16976.2,438,118.5,0.270548,2007.28,-2327.31,0.709976,9.27556e+08,2.58469e+12,1.83873e+16,5478.22,74.015,15491.7,3615.59
5010,0.006,169317,325056,328344,-16976.2,515,136,0.264078,2077.77,-2409.27,0.738611,1.03838e+09,2.67534e+12,1.87159e+16,6132.77,78.312,13537.6,2935.99
1010,0.009,169317,508325,510466,-23111.8,713,189,0.265077,2717.55,-3184.33,1.82099,2.67002e+09,3.77217e+12,2.02584e+16,15769.4,125.576,4629.35,478.144
3010,0.007,169317,364351,367071,-21674.2,558,145,0.259857,2229.11,-2793.49,0.970629,1.41854e+09,2.87537e+12,1.92155e+16,8378,91.5314,9112.42,1613.85
7010,0.007,169317,322917,325637,-18558.3,376,101.5,0.269947,1996.86,-2595.36,0.725982,1.03256e+09,2.60946e+12,1.84866e+16,6098.41,78.0923,13316,2932.79
5010,0.007,169317,333485,336205,-18558.3,438,114.5,0.261416,2037.1,-2666.93,0.788337,1.16621e+09,2.71654e+12,1.88385e+16,6887.76,82.9925,11549.1,2342.26
1010,0.01,169317,499466,500515,-29086.8,649,170.5,0.262712,2723.73,-3326.69,1.76859,2.87553e+09,3.74494e+12,2.03786e+16,16983.1,130.319,4112.15,414.29
7010,0.008,169317,324261,326363,-20622.7,328,89.5,0.272866,2070.11,-3571.56,0.733886,1.1348e+09,2.60719e+12,1.85669e+16,6702.19,81.8669,11547.8,2438.21
